fish	lice	bicor	p	positive	absolute
gene19139:100194634	EMLSAT00000004293	0.500552288840573	7.83280052115284e-09	TRUE	0.500552288840573
gene39036:106577925	EMLSAT00000003364	0.521514153670395	1.40142123670521e-09	TRUE	0.521514153670395
gene14092:106607319	EMLSAT00000003120	0.51046032786049	3.52340017402703e-09	TRUE	0.51046032786049
gene14092:106607319	EMLSAT00000001258	0.522466324825999	1.29242151407395e-09	TRUE	0.522466324825999
gene19139:100194634	EMLSAT00000001258	0.527189525524837	8.61700691640834e-10	TRUE	0.527189525524837
gene38315:100194968	EMLSAT00000001258	0.503181817295353	6.35203703554244e-09	TRUE	0.503181817295353
gene14092:106607319	EMLSAT00000001046	0.515809472014483	2.2645973692302e-09	TRUE	0.515809472014483
gene27226:106566174	EMLSAT00000001046	0.508427376526559	4.15964537872509e-09	TRUE	0.508427376526559
gene41288:106579927	EMLSAT00000001046	0.504610519053011	5.6642739376254e-09	TRUE	0.504610519053011
gene41639:106580518	EMLSAT00000001046	0.54322643542409	2.07480479512742e-10	TRUE	0.54322643542409
gene43010:106581752	EMLSAT00000001046	0.52436911224667	1.09851574887647e-09	TRUE	0.52436911224667
gene43154:100380356	EMLSAT00000001046	0.526777042776953	8.92973960784495e-10	TRUE	0.526777042776953
gene48520:106587207	EMLSAT00000001046	0.518368272534038	1.82801739086902e-09	TRUE	0.518368272534038
gene50301:106588785	EMLSAT00000001046	0.545781705650389	1.64214473126491e-10	TRUE	0.545781705650389
gene7683:106601362	EMLSAT00000001046	0.514944770598993	2.43359735367819e-09	TRUE	0.514944770598993
gene9920:106603378	EMLSAT00000001046	0.525541176035399	9.93350235372076e-10	TRUE	0.525541176035399
gene15943:100136494	EMLSAT00000002087	0.501795360096302	7.09564830105183e-09	TRUE	0.501795360096302
gene50301:106588785	EMLSAT00000002087	0.513040754244731	2.84950294797048e-09	TRUE	0.513040754244731
gene19139:100194634	EMLSAT00000001252	0.532186412461111	5.57365309697253e-10	TRUE	0.532186412461111
gene41288:106579927	EMLSAT00000011382	0.505884499693165	5.11177598815072e-09	TRUE	0.505884499693165
gene41639:106580518	EMLSAT00000011382	0.500009726073346	8.17709113186165e-09	TRUE	0.500009726073346
gene43010:106581752	EMLSAT00000011382	0.519261382889664	1.69564375239874e-09	TRUE	0.519261382889664
gene50301:106588785	EMLSAT00000011382	0.568576243631336	1.86360385021521e-11	TRUE	0.568576243631336
gene19139:100194634	EMLSAT00000001369	0.514212925082723	2.58604295926896e-09	TRUE	0.514212925082723
gene3035:100195938	EMLSAT00000001369	0.537920329070013	3.35103985896089e-10	TRUE	0.537920329070013
gene23153:106562310	EMLSAT00000012401	0.5056623863426	5.20422418390318e-09	TRUE	0.5056623863426
gene44365:106583199	EMLSAT00000009539	0.519495862647141	1.66244795182083e-09	TRUE	0.519495862647141
gene48520:106587207	EMLSAT00000009331	0.502466134412093	6.72601718546568e-09	TRUE	0.502466134412093
gene24464:106563611	EMLSAT00000012219	0.52618921444434	9.3943517356541e-10	TRUE	0.52618921444434
gene29049:106567847	EMLSAT00000012219	0.520624339272225	1.51123616609082e-09	TRUE	0.520624339272225
gene300:106567335	EMLSAT00000012219	0.521682731485944	1.38149995510893e-09	TRUE	0.521682731485944
gene41288:106579927	EMLSAT00000012219	0.526771239580094	8.93421639485217e-10	TRUE	0.526771239580094
gene41639:106580518	EMLSAT00000012219	0.518418752719915	1.82027768613043e-09	TRUE	0.518418752719915
gene48520:106587207	EMLSAT00000012219	0.531870026140757	5.73075800648491e-10	TRUE	0.531870026140757
gene49684:100194709	EMLSAT00000012219	0.506914281176105	4.70337148572243e-09	TRUE	0.506914281176105
gene50301:106588785	EMLSAT00000012219	0.515678053431259	2.28953467500971e-09	TRUE	0.515678053431259
gene56580:100380811	EMLSAT00000012219	0.521807572000144	1.36692306077861e-09	TRUE	0.521807572000144
gene9920:106603378	EMLSAT00000012219	0.505433342577715	5.30123719449841e-09	TRUE	0.505433342577715
gene50301:106588785	EMLSAT00000011334	0.523924014064448	1.14119422603742e-09	TRUE	0.523924014064448
gene19139:100194634	EMLSAT00000009206	0.520575683777817	1.51747361133664e-09	TRUE	0.520575683777817
gene19139:100194634	EMLSAT00000009594	0.530936378885753	6.21962337170268e-10	TRUE	0.530936378885753
gene28964:106567924	EMLSAT00000007280	0.506159647801612	4.99943877118609e-09	TRUE	0.506159647801612
gene15153:106608334	EMLSAT00000008451	0.505024008468167	5.47895364632521e-09	TRUE	0.505024008468167
gene2829:100196856	EMLSAT00000008451	0.504269881399813	5.82144934965374e-09	TRUE	0.504269881399813
gene29977:106568958	EMLSAT00000008451	0.500765639549289	7.70126294584211e-09	TRUE	0.500765639549289
gene34053:106572905	EMLSAT00000008451	0.501382478984112	7.3327767806255e-09	TRUE	0.501382478984112
gene23025:106562201	EMLSAT00000007368	0.505259941804904	5.37583457455484e-09	TRUE	0.505259941804904
gene41288:106579927	EMLSAT00000007368	0.514849395347493	2.45296334229837e-09	TRUE	0.514849395347493
gene48520:106587207	EMLSAT00000007368	0.517316012149242	1.99674456308275e-09	TRUE	0.517316012149242
gene9920:106603378	EMLSAT00000007368	0.510748679829483	3.44110444060131e-09	TRUE	0.510748679829483
gene50301:106588785	EMLSAT00000005794	0.505468068606015	5.28641790036463e-09	TRUE	0.505468068606015
gene50301:106588785	EMLSAT00000009477	0.528235533916236	7.87048936384778e-10	TRUE	0.528235533916236
gene10948:100194649	EMLSAT00000011562	0.516532550183791	2.13199205582516e-09	TRUE	0.516532550183791
gene11138:100195986	EMLSAT00000011562	0.507635784188743	4.43609598024138e-09	TRUE	0.507635784188743
gene1363:100194654	EMLSAT00000011562	0.505656476156286	5.20670591866584e-09	TRUE	0.505656476156286
gene14080:100136373	EMLSAT00000011562	0.526579120100935	9.08364940969383e-10	TRUE	0.526579120100935
gene15153:106608334	EMLSAT00000011562	0.56572885216538	2.46810072500027e-11	TRUE	0.56572885216538
gene17619:106610677	EMLSAT00000011562	0.504636018387008	5.65267349714916e-09	TRUE	0.504636018387008
gene18456:106611504	EMLSAT00000011562	0.514824812797039	2.45797879777299e-09	TRUE	0.514824812797039
gene18469:106611516	EMLSAT00000011562	0.507201517677997	4.59516463198147e-09	TRUE	0.507201517677997
gene19165:106612153	EMLSAT00000011562	0.516876250745502	2.07160936597246e-09	TRUE	0.516876250745502
gene1973:100194608	EMLSAT00000011562	0.511254493243044	3.30118563063882e-09	TRUE	0.511254493243044
gene21407:106560598	EMLSAT00000011562	0.509910037870878	3.68572994531548e-09	TRUE	0.509910037870878
gene21482:100306759	EMLSAT00000011562	0.529271932252189	7.19244011294432e-10	TRUE	0.529271932252189
gene23002:100196262	EMLSAT00000011562	0.508900009298887	4.00255684573277e-09	TRUE	0.508900009298887
gene23161:100194506	EMLSAT00000011562	0.500271392183497	8.00927295687695e-09	TRUE	0.500271392183497
gene24267:106563517	EMLSAT00000011562	0.511408616426994	3.25964967009644e-09	TRUE	0.511408616426994
gene27399:106566347	EMLSAT00000011562	0.520131021660611	1.57563637435784e-09	TRUE	0.520131021660611
gene27701:106566669	EMLSAT00000011562	0.522040702787142	1.34009687719912e-09	TRUE	0.522040702787142
gene27993:106566811	EMLSAT00000011562	0.526461954802715	9.17595971643738e-10	TRUE	0.526461954802715
gene2803:100194627	EMLSAT00000011562	0.503286843070404	6.29886405945422e-09	TRUE	0.503286843070404
gene2829:100196856	EMLSAT00000011562	0.540526103362141	2.65085682473598e-10	TRUE	0.540526103362141
